	"Type"
"Moitessier - saloon"	"Book"
"Nietzche - desk"	"Book"
"Dali - desk"	"Book"
"Music - desk"	"Book"
"Bible - room"	"Book"
"Coran - room"	"Book"
"Sidarta - room"	"Book"
"Jack Kerouac - desk"	"Book"
"Moliere Dom Juan - desk"	"Book"
"Le pendule de foucault"	"Book"
"Shining"	"Movie"
"Blade runner"	"Movie"
"Buddha"	"Movie"
"Lost in translation"	"Movie"
"Monte carlo simulation - nok\\"	"Pdf"
"Black and Scholes - ok\\"	"Pdf"
"Monte carlo markov chains\\"	"Pdf"
"Pythagore\\"	"Pdf"
"Thales\\"	"Pdf"
"Differential Equations\\"	"Pdf"
"Probability\\"	"Pdf"
"VaR explained by sensitivity"	"Pdf"
"Linear correlation"	"Pdf"
"%http://en.wikibooks.org/wiki/LaTeX/Mathematics"	"Link"
"%\url{http://www.wikibooks.org}"	"Link"
"%\href{http://www.wikibooks.org}{Wikibooks home}"	"Link"
	"Link"
"%PERT Diagram : http://fr.wikipedia.org/wiki/R%C3%A9seau_PERT"	"Link"
"%Burn down chart : http://en.wikipedia.org/wiki/Scrum_%28development%29"	"Link"
"%Theory of constraints : http://en.wikipedia.org/wiki/Theory_of_constraints"	"Link"
"%Leverage points : http://en.wikipedia.org/wiki/Twelve_leverage_points"	"Link"
"%Linear programing : http://en.wikipedia.org/wiki/Linear_programming"	"Link"
"%Markov chains :(Information theory) http://en.wikipedia.org/wiki/Markov_chain"	"Link"
"%Information : http://en.wikipedia.org/wiki/Information_entropy"	"Link"
"%http://makerplane.org/?page_id=168"	"Link"
"%http://en.wikipedia.org/wiki/Wikispeed"	"Link"
	"Link"
"%http://en.wikipedia.org/wiki/Three_stratum_theory"	"Link"
"%http://en.wikipedia.org/wiki/M%C3%B6bius_transformation"	"Link"
"%http://en.wikipedia.org/wiki/Hypergeometric_function"	"Link"
"%http://en.wikipedia.org/wiki/Laguerre_polynomial#Generalized_Laguerre_polynomials"	"Link"
"%http://en.wikipedia.org/wiki/Schr%C3%B6dinger_equation"	"Link"
"%http://en.wikipedia.org/wiki/Langevin_equation"	"Link"
"%http://en.wikipedia.org/wiki/Brownian_motion"	"Link"
"%http://en.wikipedia.org/wiki/General_relativity"	"Link"
	"Link"
"Jake Chapman"	"Link"
"David Smigley"	"Link"
"Marcel Dzana"	"Link"
"John Heartfield"	"Link"
"Helmut Herzfeld"	"Link"
"Yayoi Kusama"	"Link"
"M Pistoletto"	"Link"
"Do Ho Suh"	"Link"
"Robert Morris"	"Link"
