Date,1 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
05/01/15,0,0.01,0.05,0.25,0.6,0.97,1.5,1.87,2.12,2.57,2.82
05/04/15,0.01,0.02,0.08,0.25,0.6,0.96,1.51,1.9,2.16,2.62,2.88
05/05/15,0.01,0.01,0.08,0.24,0.62,1,1.54,1.92,2.19,2.64,2.9
05/06/15,0.02,0.02,0.08,0.25,0.65,1.03,1.58,1.97,2.25,2.72,2.98
05/07/15,0.01,0.01,0.08,0.24,0.63,1.02,1.55,1.93,2.18,2.63,2.9
05/08/15,0.01,0.01,0.08,0.23,0.59,0.96,1.5,1.89,2.16,2.63,2.9
05/11/15,0.02,0.02,0.09,0.25,0.62,1.02,1.59,2,2.28,2.76,3.03
05/12/15,0.01,0.03,0.09,0.25,0.61,1,1.58,2,2.28,2.75,3.02
05/13/15,0.02,0.02,0.09,0.24,0.59,0.97,1.57,2,2.27,2.79,3.07
05/14/15,0,0.01,0.08,0.23,0.56,0.91,1.51,1.94,2.23,2.76,3.03
05/15/15,0.02,0.02,0.09,0.23,0.55,0.9,1.46,1.87,2.14,2.66,2.93
05/18/15,0.01,0.02,0.08,0.22,0.58,0.95,1.54,1.95,2.23,2.75,3.02
05/19/15,0.02,0.02,0.07,0.23,0.63,1.01,1.6,2.01,2.27,2.79,3.05
05/20/15,0.02,0.02,0.08,0.23,0.6,0.98,1.57,1.98,2.26,2.79,3.06
